List Price,MLS® #,Status,Type,Subtype,Bedrooms,Bathrooms,Lot Size,Subdivision,Ownership,Heating Fuel,Garage,Parking Spaces,Construction Materials,Fencing,Fireplaces,Levels,Pool,Cooling,Country,Flooring,Sewer,Frontage Length,Community Features,Heating,Lot Features,Stories,Attached Garage,View,Architectural Style,Waterfront
"$2,995,000",1149101,ACTIVE,Single Family Residential,Single Family,5,5,"89,733",Rideau Forest,Freehold,Natural gas,Yes,10,NULL,Fenced yard,4,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,177 ft,NULL,Forced air,"Landscaped, Underground sprinkler",2,Yes,NULL,NULL,NULL
"$2,950,000",1151271,ACTIVE,Single Family Residential,Single Family,6,5,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,8,NULL,Fenced yard,2,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,"100 ft ,3 in",NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$2,800,000",1136142,ACTIVE,Single Family Residential,Single Family,7,9,NULL,Cumberland Estates,Freehold,Natural gas,Yes,10,Masonry,NULL,3,2,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Septic System,"409 ft ,5 in",Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$2,799,000",1161958,ACTIVE,Single Family Residential,Single Family,5,5,NULL,The Glebe,Freehold,"Natural gas,",Yes,4,NULL,Fenced yard,1,3,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,38 ft,NULL,"Forced air, Radiant heat",NULL,3,Yes,NULL,NULL,NULL
"$2,750,000",1165310,ACTIVE,Single Family Residential,Single Family,7,7,NULL,The Glebe,Freehold,Natural gas,Yes,7,Wood frame,Fenced yard,1,3,NULL,Wall unit,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,75 ft,NULL,Hot water radiator heat,Landscaped,3,Yes,NULL,NULL,NULL
"$2,750,000",1133508,ACTIVE,Single Family Residential,Single Family,4,4,"88,862",Emerald Links,Freehold,Natural gas,Yes,8,Wood frame,NULL,1,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Marble",Septic System,"132 ft ,3 in",Family Oriented,Forced air,"Landscaped, Underground sprinkler",2,Yes,NULL,NULL,NULL
"$2,700,000",1165229,ACTIVE,Single Family Residential,Single Family,5,5,"217,800",Clarence-Rockland,Freehold,"Propane,",Yes,12,Poured concrete,NULL,2,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"185 ft ,5 in",NULL,"Forced air, Radiant heat",Underground sprinkler,1,Yes,River view,Bungalow,Yes
"$2,690,000",1155449,ACTIVE,Single Family Residential,Single Family,6,6,NULL,Rockcliffe Park,Freehold,"Natural gas,",Yes,8,NULL,Fenced yard,5,3,Yes,Central air conditioning,Canada,"Hardwood, Marble, Tile",Municipal sewage system,85 ft,NULL,"Hot water radiator heat, Radiant heat",Landscaped,3,Yes,NULL,NULL,NULL
"$2,650,000",1162099,ACTIVE,Single Family Residential,Single Family,4,5,NULL,Rideau Forest,Freehold,Natural gas,Yes,20,NULL,NULL,3,1,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"605 ft ,1 in",Family Oriented,Forced air,Underground sprinkler,1,Yes,NULL,Bungalow,NULL
"$2,650,000",1147628,ACTIVE,Single Family Residential,Single Family,5,8,NULL,Manotick,Freehold,Natural gas,Yes,15,NULL,NULL,4,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"111 ft ,9 in",Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,Yes
"$2,599,000",1165951,ACTIVE,Condo,Single Family,3,3,NULL,The Glebe,Condominium/Strata,Natural gas,Yes,1,Poured concrete,NULL,1,3,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Municipal sewage system,NULL,"Family Oriented, School Bus",Forced air,NULL,3,Yes,River view,NULL,NULL
"$2,599,000",1155102,ACTIVE,Single Family Residential,Single Family,5,7,"98,010",Rideau Forest/Manotick,Freehold,"Natural gas,",Yes,12,NULL,Fenced yard,5,1,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"186 ft ,4 in",NULL,"Forced air, Radiant heat","Landscaped, Underground sprinkler",1,Yes,NULL,Bungalow,NULL
"$2,550,000",1160819,ACTIVE,Single Family Residential,Single Family,9,10,NULL,Westboro,Freehold,"Natural gas,",NULL,5,NULL,Fenced yard,NULL,NULL,NULL,Unknown,Canada,Hardwood,Municipal sewage system,66 ft,Family Oriented,"Hot water radiator heat, Radiant heat",NULL,NULL,NULL,NULL,NULL,NULL
"$2,500,000",1145513,ACTIVE,Single Family Residential,Single Family,5,6,"121,967",Rideau Forest,Freehold,Natural gas,Yes,10,NULL,NULL,NULL,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"264 ft ,3 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$2,450,000",1122902,ACTIVE,Single Family Residential,Single Family,5,5,"6,534,000",Richmond,Freehold,Propane,Yes,22,NULL,NULL,4,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,NULL,NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$2,290,000",1150716,ACTIVE,Condo,Single Family,2,3,NULL,Kanata Rockeries,Condominium/Strata,"Natural gas,",Yes,4,NULL,NULL,NULL,1,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Other",Municipal sewage system,NULL,NULL,"Forced air, Radiant heat",Landscaped,1,Yes,NULL,Bungalow,NULL
"$2,249,000",1160990,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Ottawa West,Freehold,Natural gas,Yes,4,NULL,NULL,NULL,2,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Municipal sewage system,50 ft,NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$2,225,000",1130621,ACTIVE,Single Family Residential,Single Family,4,6,"92,782",Rideau Forest,Freehold,Natural gas,Yes,3,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"255 ft ,11 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$2,180,000",1155086,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Rothwell Heights,Freehold,Natural gas,Yes,9,NULL,NULL,1,NULL,NULL,Central air conditioning,Canada,"Hardwood, Tile, Vinyl",Municipal sewage system,120 ft,NULL,Forced air,Landscaped,NULL,Yes,NULL,NULL,NULL
"$2,150,000",1135416,ACTIVE,Condo,Single Family,2,3,NULL,Centretown,Condominium/Strata,Natural gas,Yes,1,Poured concrete,NULL,NULL,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Recreational Facilities,Forced air,NULL,1,Yes,NULL,NULL,NULL
"$2,100,000",1160855,ACTIVE,Single Family Residential,Single Family,4,3,"56,628",Rideau Heights,Freehold,Natural gas,Yes,8,NULL,NULL,2,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"113 ft ,5 in",NULL,Forced air,NULL,1,Yes,River view,Raised ranch,Yes
"$1,999,900",1159905,ACTIVE,Single Family Residential,Single Family,6,4,NULL,Mckellar Park,Freehold,Natural gas,Yes,10,NULL,Fenced yard,NULL,2,NULL,Central air conditioning,Canada,"Mixed Flooring, Hardwood",Municipal sewage system,"73 ft ,1 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,999,888",1142596,ACTIVE,Single Family Residential,Single Family,5,6,NULL,Rideau Forest,Freehold,Natural gas,Yes,12,NULL,Fenced yard,2,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"228 ft ,3 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,999,000",1165149,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Quinterra,Freehold,Natural gas,Yes,7,NULL,Fenced yard,3,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,"68 ft ,1 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,997,777",1141298,ACTIVE,Condo,Single Family,2,3,NULL,Glebe,Condominium/Strata,Natural gas,Yes,2,NULL,NULL,NULL,20,NULL,Central air conditioning,Canada,Mixed Flooring,Municipal sewage system,NULL,Recreational Facilities,Forced air,NULL,20,Yes,NULL,NULL,NULL
"$1,995,000",1161072,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Westboro,Freehold,"Natural gas,",Yes,4,NULL,Fenced yard,2,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,42 ft,Family Oriented,"Forced air, Radiant heat",NULL,2,Yes,NULL,NULL,NULL
"$1,995,000",1141065,ACTIVE,Single Family Residential,Single Family,4,6,"37,026",Manotick Estates,Freehold,Natural gas,Yes,10,NULL,NULL,5,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,"84 ft ,7 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,995,000",1137333,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Playfair Park,Freehold,Natural gas,Yes,6,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,75 ft,Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,990,000",1158939,ACTIVE,Single Family Residential,Single Family,4,5,NULL,Whitehaven,Freehold,Natural gas,Yes,6,Poured concrete,NULL,NULL,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,60 ft,NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,990,000",1157498,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,4,NULL,Fenced yard,2,3,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,125 ft,NULL,Forced air,Landscaped,3,Yes,NULL,NULL,NULL
"$1,988,000",1161001,ACTIVE,Single Family Residential,Single Family,3,2,"56,192",Rockland,Freehold,Natural gas,Yes,18,Poured concrete,NULL,1,1,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",NULL,"858 ft ,5 in",NULL,Forced air,Underground sprinkler,1,Yes,River view,Bungalow,Yes
"$1,988,000",1143215,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Rothwell Heights,Freehold,"Natural gas,",Yes,7,NULL,NULL,NULL,1,Yes,Central air conditioning,Canada,"Hardwood, Marble, Tile",Septic System,"92 ft ,7 in",Family Oriented,"Hot water radiator heat, Radiant heat",NULL,1,Yes,NULL,Bungalow,NULL
"$1,980,000",1162025,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Cardinal Heights,Freehold,Natural gas,Yes,2,NULL,NULL,NULL,3,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood",Municipal sewage system,"62 ft ,6 in",Family Oriented,Forced air,NULL,3,Yes,NULL,NULL,NULL
"$1,974,990",1137629,ACTIVE,Condo,Single Family,2,3,NULL,Wellington West,Condominium/Strata,Natural gas,NULL,NULL,NULL,NULL,NULL,12,Yes,Heat Pump,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Recreational Facilities,Heat Pump,NULL,12,NULL,NULL,NULL,NULL
"$1,950,000",1163854,ACTIVE,Single Family Residential,Single Family,4,1,"87,120",Carp Road Corridor,Freehold,Natural gas,Yes,25,NULL,NULL,2,1,Yes,Window air conditioner,Canada,Hardwood,Septic System,310 ft,NULL,Forced air,NULL,1,Yes,NULL,Bungalow,NULL
"$1,950,000",1154659,ACTIVE,Condo,Single Family,2,3,NULL,Rockcliffe Park,Condominium/Strata,Natural gas,Yes,2,Poured concrete,NULL,1,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Adult Oriented,Hot water radiator heat,Landscaped,1,Yes,NULL,NULL,NULL
"$1,950,000",1147627,ACTIVE,Single Family Residential,Single Family,5,4,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,5,NULL,Fenced yard,2,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,"52 ft ,6 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,800,000",1001831,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Cedar Hill,Freehold,Natural gas,Yes,8,Wood frame,NULL,2,2,NULL,Central air conditioning,Canada,"Hardwood, Marble, Ceramic",NULL,"163 ft ,2 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,799,000",1160089,ACTIVE,Single Family Residential,Single Family,6,7,"35,283",Butternut Creek,Freehold,Natural gas,Yes,10,NULL,NULL,2,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,"225 ft ,10 in",Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,790,000",1153056,ACTIVE,Single Family Residential,Single Family,6,7,NULL,Kingsview Park,Freehold,"Natural gas, Electric",Yes,8,NULL,Fenced yard,NULL,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,150 ft,NULL,"Baseboard heaters, Forced air",Landscaped,2,Yes,NULL,NULL,NULL
"$1,790,000",1156201,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Rockliffe Park,Freehold,Natural gas,Yes,6,NULL,NULL,2,1,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Marble",Municipal sewage system,"110 ft ,11 in",NULL,Forced air,NULL,1,Yes,NULL,Bungalow,NULL
"$1,788,800",1157240,ACTIVE,Single Family Residential,Single Family,3,4,NULL,Rothwell Heights,Freehold,Natural gas,Yes,6,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"76 ft ,3 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,750,000",1163375,ACTIVE,Single Family Residential,Single Family,6,5,"65,340",Lakeland Estates,Freehold,Natural gas,Yes,8,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"131 ft ,3 in",Family Oriented,Forced air,NULL,2,Yes,Lake view,NULL,Yes
"$1,699,000",1165007,ACTIVE,Single Family Residential,Single Family,6,5,"87,120",Manotick,Freehold,Natural gas,Yes,20,NULL,NULL,NULL,2,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Septic System,270 ft,NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,695,000",1158408,ACTIVE,Single Family Residential,Single Family,5,4,NULL,Civic Hospital,Freehold,Natural gas,Yes,4,NULL,Fenced yard,2,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,65 ft,NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,690,000",1154896,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Alta Vista,Freehold,Natural gas,Yes,6,NULL,Fenced yard,2,1,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,90 ft,NULL,Forced air,Landscaped,1,Yes,NULL,Bungalow,NULL
"$1,689,000",1155770,ACTIVE,Single Family Residential,Single Family,4,3,"2,412,352",Stittsville,Freehold,Natural gas,Yes,100,Wood frame,NULL,2,2,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Septic System,"498 ft ,3 in",NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,650,000",1164617,ACTIVE,Single Family Residential,Single Family,5,3,NULL,Manotick,Freehold,Propane,Yes,30,NULL,NULL,2,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,250 ft,NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,650,000",1162127,ACTIVE,Single Family Residential,Single Family,5,4,NULL,Manotick Long Island,Freehold,Natural gas,Yes,9,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Mixed Flooring, Hardwood, Tile",Septic System,"101 ft ,9 in",Family Oriented,Forced air,NULL,2,Yes,River view,NULL,NULL
"$1,649,000",1149933,ACTIVE,Single Family Residential,Single Family,5,5,NULL,St. Claire Gardens,Freehold,Natural gas,Yes,8,NULL,Fenced yard,2,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,"69 ft ,2 in",NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,600,000",1154666,ACTIVE,Single Family Residential,Single Family,4,3,NULL,Rockcliffe,Freehold,Natural gas,Yes,4,NULL,NULL,1,1,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood",Municipal sewage system,90 ft,NULL,Forced air,NULL,1,Yes,NULL,Raised ranch,NULL
"$1,599,900",1158638,ACTIVE,Single Family Residential,Single Family,6,4,"17,424",Rothwell Heights,Freehold,Electric,Yes,12,NULL,Fenced yard,3,1,NULL,Central air conditioning,Canada,"Mixed Flooring, Hardwood, Marble",Municipal sewage system,"103 ft ,2 in",NULL,Forced air,Landscaped,1,Yes,NULL,Bungalow,NULL
"$1,599,900",1157499,ACTIVE,Single Family Residential,Single Family,10,4,NULL,Sandy Hill,Freehold,Natural gas,NULL,1,NULL,Fenced yard,NULL,3,NULL,NULL,Canada,"Wall-to-wall carpet, Hardwood, Laminate",Municipal sewage system,30 ft,NULL,Forced air,Landscaped,3,NULL,NULL,NULL,NULL
"$1,599,000",1148496,ACTIVE,Condo,Single Family,2,2,NULL,Hintonburg,Condominium/Strata,Natural gas,Yes,2,NULL,NULL,1,3,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Adult Oriented,Forced air,NULL,3,Yes,NULL,NULL,NULL
"$1,595,000",1159010,ACTIVE,Single Family Residential,Single Family,1,2,NULL,Billings Bridge,Freehold,Natural gas,NULL,5,NULL,NULL,NULL,NULL,NULL,Central air conditioning,Canada,Mixed Flooring,Municipal sewage system,"49 ft ,8 in",NULL,Forced air,NULL,NULL,NULL,NULL,NULL,NULL
"$1,595,000",1158713,ACTIVE,Single Family Residential,Single Family,3,3,NULL,Rideau Forest,Freehold,"Natural gas,",Yes,12,Poured concrete,NULL,4,1,Yes,Central air conditioning,Canada,"Hardwood, Tile",NULL,230 ft,Family Oriented,"Forced air, Radiant heat",Underground sprinkler,1,Yes,NULL,Bungalow,NULL
"$1,595,000",1039870,ACTIVE,Single Family Residential,Single Family,4,3,"4,312,440",Metcalfe Area,Freehold,Oil,Yes,10,Wood frame,NULL,NULL,2,NULL,NULL,Canada,Other,Septic System,1100 ft,School Bus,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,590,000",1138991,ACTIVE,Condo,Single Family,2,2,NULL,Centre Town,Condominium/Strata,Natural gas,Yes,1,Poured concrete,NULL,1,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,Recreational Facilities,Forced air,NULL,1,Yes,"Mountain view, River view",NULL,NULL
"$1,575,000",1154216,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Rothwell Heights,Freehold,"Natural gas,",Yes,6,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Mixed Flooring, Hardwood, Ceramic",Municipal sewage system,100 ft,NULL,"Forced air, Radiant heat",Landscaped,2,Yes,NULL,NULL,NULL
"$1,549,000",1155194,ACTIVE,Single Family Residential,Single Family,8,4,NULL,Glebe,Freehold,Natural gas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Canada,"Hardwood, Tile",Municipal sewage system,"47 ft ,2 in",NULL,Hot water radiator heat,NULL,NULL,NULL,NULL,NULL,NULL
"$1,540,000",1156736,ACTIVE,Single Family Residential,Single Family,5,6,"54,450",Cedarhill Estates,Freehold,Natural gas,Yes,10,NULL,NULL,2,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Septic System,"277 ft ,8 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,529,000",1160770,ACTIVE,Single Family Residential,Single Family,5,4,NULL,Dows Lake,Freehold,Natural gas,Yes,2,NULL,NULL,1,3,NULL,Unknown,Canada,"Carpeted, Hardwood, Tile",Municipal sewage system,50 ft,NULL,Hot water radiator heat,Landscaped,3,Yes,Lake view,NULL,NULL
"$1,510,000",1148562,ACTIVE,Condo,Single Family,2,3,NULL,Little Italy,Condominium/Strata,Natural gas,NULL,NULL,NULL,NULL,NULL,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,NULL,NULL,Forced air,NULL,1,NULL,NULL,NULL,NULL
"$1,507,000",1139047,ACTIVE,Single Family Residential,Single Family,3,4,NULL,Greystone Village,Freehold,Natural gas,Yes,2,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,"29 ft ,6 in",Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,500,000",1153304,ACTIVE,Single Family Residential,Single Family,3,2,NULL,Canal East,Freehold,Natural gas,Yes,2,NULL,NULL,1,3,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Municipal sewage system,"31 ft ,11 in",NULL,Forced air,Landscaped,3,Yes,NULL,NULL,Yes
"$1,499,900",1143178,ACTIVE,Single Family Residential,Single Family,5,4,NULL,Applewood Acres,Freehold,Natural gas,Yes,7,NULL,NULL,NULL,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Ceramic",Municipal sewage system,66 ft,Family Oriented,Forced air,"Land / Yard lined with hedges, Landscaped",2,Yes,NULL,NULL,NULL
"$1,499,800",1148490,ACTIVE,Single Family Residential,Single Family,5,5,"29,185",Rothwell Heights,Freehold,"Natural gas,",Yes,12,Wood frame,NULL,3,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"128 ft ,5 in",NULL,"Forced air, Radiant heat",Underground sprinkler,2,Yes,NULL,NULL,NULL
"$1,498,800",1141451,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Alta Vista,Freehold,Natural gas,Yes,6,NULL,NULL,2,2,NULL,Central air conditioning,Canada,"Hardwood, Ceramic",Municipal sewage system,50 ft,NULL,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,498,000",1151532,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Lindenlea,Freehold,"Natural gas,",Yes,4,NULL,NULL,2,3,NULL,Central air conditioning,Canada,"Hardwood, Tile, Other",Municipal sewage system,"50 ft ,8 in",NULL,"Hot water radiator heat, Radiant heat",NULL,3,Yes,NULL,NULL,NULL
"$1,495,000",1148732,ACTIVE,Single Family Residential,Single Family,6,6,NULL,Glabar Park/ Mckellar Heights,Freehold,Natural gas,Yes,6,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Tile",Municipal sewage system,52 ft,Family Oriented,Forced air,NULL,2,Yes,NULL,NULL,NULL
"$1,490,000",1160059,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Lindenlea,Freehold,Natural gas,Yes,2,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Hardwood, Tile, Other",Municipal sewage system,33 ft,Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,490,000",1154683,ACTIVE,Single Family Residential,Single Family,4,5,"11,325",Carleton Heights,Freehold,Natural gas,Yes,6,NULL,Fenced yard,1,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,69 ft,Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$1,489,000",1112613,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Dunrobin Shores,Freehold,Propane,Yes,10,NULL,NULL,3,3,Yes,Central air conditioning,Canada,"Carpet over Hardwood, Hardwood, Tile",Septic System,150 ft,NULL,Forced air,Land / Yard lined with hedges,3,Yes,"Mountain view, River view",NULL,Yes
